HOMBRE,SOLTERO,PROPIA,41,2248314,1132527,0,140,73900000,828,EE
MUJER,SOLTERO,FAMILIAR,31,1000000,94200,0,96,38000000,5,A
HOMBRE,CASADO,PROPIA,42,2281043,1181888,0,140,83000000,97,C
MUJER,SOLTERO,FAMILIAR,41,2282049,1272542,0,140,56400000,371,E
MUJER,SOLTERO,PROPIA,48,1500000,1700000,1,48,8443603,74,D
MUJER,CASADO,FAMILIAR,31,7535000,4747028,1,75,11322040,591,E
HOMBRE,CASADO,FAMILIAR,50,989540,177580,0,60,25000000,226,E
HOMBRE,SOLTERO,FAMILIAR,57,2184237,908913,0,48,62300000,5,A
HOMBRE,SOLTERO,FAMILIAR,33,2306506,1184807,0,140,62000000,251,E
MUJER,CASADO,ARRENDADA,36,2100000,806372,0,85,22130991,591,E
HOMBRE,CASADO,PROPIA,43,0,32300000,0,72,339300000,60,B
MUJER,SEPARADO,FAMILIAR,51,2529040,1685100,0,150,25496749,128,D
MUJER,UNION LIBRE ,PROPIA,31,2420813,1335063,0,169,69198774,280,E
HOMBRE,UNION LIBRE ,PROPIA,34,0,17642975,0,72,102159934,652,E
HOMBRE,CASADO,FAMILIAR,40,1686448,707137,0,160,14614276,471,E
MUJER,SOLTERO,PROPIA,41,3160000,892674,0,59,21358217,13,E
HOMBRE,#N/A,PROPIA,41,2540840,224329,0,172,106000000,218,E
HOMBRE,CASADO,ARRENDADA,54,800000,0,4,96,15277835,226,E
HOMBRE,SOLTERO,FAMILIAR,38,2185875,1052170,0,160,54460712,67,B
HOMBRE,SOLTERO,FAMILIAR,46,3559644,1747670,0,154,79464249,555,E
HOMBRE,CASADO,PROPIA,44,16000000,31116667,0,60,175986805,805,EE
HOMBRE,SOLTERO,PROPIA,33,2184611,948114,0,60,8600000,893,E
HOMBRE,SOLTERO,FAMILIAR,28,1892502,1093510,0,140,58200000,402,E
HOMBRE,UNION LIBRE ,FAMILIAR,36,2122430,1153702,0,140,59600000,158,D
HOMBRE,SOLTERO,PROPIA,32,1696758,804563,0,120,52700000,433,E
HOMBRE,SOLTERO,PROPIA,55,700000,175278,2,84,23700000,5,A
HOMBRE,SOLTERO,FAMILIAR,37,2251333,1231525,0,140,67500000,5,A
HOMBRE,UNION LIBRE ,FAMILIAR,30,2122430,1229395,0,140,58800000,645,E
HOMBRE,SOLTERO,FAMILIAR,33,2072833,1082138,0,140,66800000,36,A
MUJER,SOLTERO,FAMILIAR,29,1977665,840174,0,140,62000000,736,E
HOMBRE,UNION LIBRE ,FAMILIAR,35,1562667,558038,0,140,38700000,524,E
HOMBRE,SOLTERO,FAMILIAR,29,1923820,978837,0,140,65000000,97,D
HOMBRE,UNION LIBRE ,FAMILIAR,34,2045247,897863,0,140,63700000,67,B
HOMBRE,CASADO,FAMILIAR,36,1955139,867029,0,140,62800000,433,E
